Generation,steps 0,steps 1,steps 2,steps 3,steps 4
0,6,2,0,11,13
1,3,2,15,6,0
2,25,0,27,26,0
3,20,47,7,22,24
4,29,12,3,9,22
5,33,43,62,53,53
6,16,33,21,31,49
7,60,56,31,44,50
8,36,25,59,66,37
9,76,37,101,105,72
10,77,74,38,52,38
11,74,51,60,76,74
12,63,97,59,36,98
13,29,39,66,101,16
14,36,54,73,51,96
15,95,10,67,27,86
16,96,9,58,53,24
17,61,32,63,96,50
18,56,27,34,31,69
19,49,42,67,78,59
20,76,66,37,65,58
21,51,58,47,71,37
22,85,66,97,84,63
23,9,79,23,57,90
24,58,57,56,91,82
25,70,70,75,61,107
26,43,47,38,73,64
27,58,52,101,68,53
28,37,3,31,4,60
29,31,207,49,124,32
30,100,56,57,63,34
31,91,84,60,92,75
32,51,48,52,131,82
33,64,115,43,73,13
34,77,10,39,16,58
35,33,70,52,35,68
36,55,38,46,29,65
37,21,27,34,18,61
38,9,83,102,16,0
39,43,61,10,24,120
40,21,10,21,17,73
41,16,22,27,15,38
42,78,13,44,16,8
43,12,19,9,10,2
44,91,59,91,59,44
45,85,55,80,3,78
46,56,51,77,30,53
47,47,87,74,52,61
48,17,18,3,34,21
49,7,12,43,14,25
50,102,29,38,70,5
51,46,47,115,55,73
52,25,70,118,4,25
53,89,85,71,113,41
54,56,69,48,69,139
55,69,68,72,117,19
56,38,36,24,26,88
57,92,54,64,19,105
58,35,64,114,59,82
59,0,65,65,66,59
60,52,58,0,115,22
61,59,64,48,24,71
62,23,46,22,56,40
63,30,20,34,9,47
64,49,19,35,30,26
65,84,89,43,98,24
66,81,41,42,23,44
67,10,7,47,52,0
68,36,37,65,9,31
69,82,45,89,52,66
70,52,41,42,57,44
71,48,93,22,42,90
72,23,60,57,45,62
73,69,82,12,40,12
74,42,46,135,26,20
75,24,56,123,17,51
76,24,29,28,11,48
77,9,20,54,50,5
78,56,30,36,45,0
79,16,14,8,20,41
80,83,32,1,26,20
81,7,50,10,73,39
82,33,93,86,71,67
83,39,11,18,27,54
84,14,10,61,8,7
85,36,14,104,14,3
86,57,116,0,61,53
87,45,8,26,9,26
88,17,27,60,56,24
89,40,4,80,58,32
90,62,70,31,41,58
91,50,67,9,5,39
92,5,11,19,10,36
93,26,11,46,40,0
94,96,101,87,62,32
95,15,31,21,30,63
96,80,42,0,42,33
97,28,59,32,66,62
98,43,83,37,135,42
99,43,73,13,64,78
