Generation,apples 0,apples 1,apples 2,apples 3,apples 4
0,1,0,0,1,2
1,0,1,2,0,0
2,4,0,5,4,0
3,3,9,1,2,6
4,5,1,2,4,3
5,8,6,11,9,7
6,3,6,3,5,7
7,9,10,6,9,9
8,6,4,11,12,7
9,16,6,15,21,12
10,12,11,8,9,6
11,12,6,9,12,13
12,13,16,8,5,13
13,4,6,14,18,2
14,6,9,10,8,18
15,13,2,11,6,13
16,14,2,8,9,5
17,9,4,10,13,7
18,9,5,5,6,9
19,9,7,11,10,9
20,12,14,9,9,10
21,9,10,6,12,5
22,11,10,14,14,13
23,2,12,4,9,20
24,9,12,10,12,13
25,10,11,9,10,18
26,8,8,6,13,9
27,9,8,13,10,10
28,6,1,5,1,9
29,5,25,10,16,6
30,17,8,8,9,6
31,14,13,11,12,12
32,9,10,7,21,13
33,8,16,7,11,2
34,15,2,6,2,10
35,3,11,6,6,12
36,9,6,6,6,11
37,4,4,6,4,10
38,1,16,20,3,0
39,6,11,2,3,20
40,4,1,5,4,12
41,2,5,3,3,5
42,11,3,6,3,1
43,2,6,1,2,1
44,17,11,13,9,7
45,13,10,13,1,13
46,7,9,13,6,7
47,7,12,9,7,10
48,3,3,1,5,5
49,1,2,5,2,5
50,17,5,6,9,1
51,8,6,20,9,13
52,3,8,18,2,7
53,13,14,10,15,7
54,7,12,10,10,19
55,9,10,10,18,4
56,4,5,5,4,12
57,17,9,11,3,17
58,8,11,17,10,11
59,0,11,11,13,9
60,6,11,0,19,3
61,9,11,7,4,10
62,4,8,4,11,6
63,5,4,5,1,6
64,8,3,6,5,4
65,15,12,8,15,7
66,16,7,8,4,8
67,1,1,6,8,0
68,8,6,8,2,6
69,11,8,9,8,9
70,9,5,8,8,8
71,9,15,4,7,14
72,4,9,9,10,11
73,11,12,1,8,1
74,7,7,19,5,3
75,4,8,17,6,9
76,3,6,5,2,8
77,1,4,9,9,1
78,10,7,7,6,0
79,2,2,1,3,7
80,12,5,0,5,5
81,1,11,3,13,7
82,7,15,14,14,9
83,8,1,3,5,9
84,3,2,8,2,2
85,4,2,17,3,0
86,9,20,0,10,7
87,5,1,5,2,5
88,2,4,13,10,5
89,8,1,10,8,4
90,8,11,5,7,9
91,8,12,3,1,6
92,1,2,4,1,5
93,5,2,7,6,0
94,15,21,14,10,5
95,1,6,4,5,9
96,14,7,0,7,5
97,7,12,5,9,8
98,9,11,7,16,6
99,6,10,3,10,9
