Generation,steps 0,steps 1,steps 2,steps 3,steps 4
0,7,2,6,3,2
1,2,3,3,3,2
2,1,3,1,0,3
3,6,2,6,1,4
4,5,2,6,0,2
5,1,1,0,0,7
6,0,0,0,3,8
7,0,8,8,0,8
8,8,2,5,4,3
9,9,9,12,0,0
10,8,3,0,4,2
11,7,2,3,3,11
12,10,5,4,5,0
13,12,2,0,16,2
14,7,3,0,5,1
15,100,106,100,100,114
16,100,111,101,115,100
17,110,100,109,111,100
18,112,125,2,124,108
19,100,104,117,100,116
20,108,100,105,100,135
21,22,0,113,112,100
22,16,15,4,24,16
23,9,25,7,0,38
24,17,0,15,1,11
25,9,10,9,26,8
26,1,64,65,4,19
27,48,64,5,131,68
28,9,27,83,75,27
29,13,52,37,53,35
30,56,30,0,10,12
31,48,39,14,20,13
32,25,21,30,10,30
33,10,40,64,42,25
34,31,69,11,9,63
35,32,11,54,14,51
36,1,44,17,78,20
37,17,8,0,66,25
38,0,6,9,24,4
39,37,21,98,1,25
40,1,55,77,139,20
41,9,67,121,67,47
42,76,7,25,54,20
43,22,51,30,57,43
44,36,30,7,27,0
45,53,10,14,42,67
46,42,44,6,35,9
47,67,5,51,32,13
48,51,12,127,55,60
49,34,8,32,9,73
50,68,12,43,84,48
51,125,48,20,77,35
52,103,34,8,40,18
53,52,81,1,75,19
54,60,97,58,17,27
55,15,32,26,63,7
56,1,71,12,76,36
57,81,21,59,43,76
58,56,50,13,87,30
59,80,46,90,61,44
60,44,8,53,37,36
61,75,36,109,38,39
62,16,8,11,6,36
63,117,11,46,74,22
64,65,17,76,26,7
65,62,42,50,31,73
66,39,24,14,17,38
67,23,23,5,151,100
68,29,30,38,76,5
69,39,30,48,47,50
70,53,11,25,50,24
71,69,10,49,41,43
72,67,33,0,68,22
73,27,16,21,33,10
74,8,10,8,7,12
75,9,6,17,12,3
76,8,11,6,7,31
77,8,25,13,26,32
78,73,34,46,9,12
79,104,10,61,37,50
80,73,30,48,32,58
81,27,50,32,36,44
82,58,9,15,25,43
83,8,45,73,36,69
84,16,9,15,28,28
85,2,46,110,5,139
86,45,78,34,39,51
87,37,2,36,51,5
88,41,16,7,61,20
89,64,24,33,29,13
90,64,36,50,63,36
91,5,16,34,75,62
92,9,50,27,21,46
93,23,23,71,46,79
94,31,10,17,16,42
95,5,37,24,24,35
96,7,7,71,39,27
97,30,45,18,22,84
98,14,19,18,31,84
99,44,38,71,49,97
