Generation,apples 0,apples 1,apples 2,apples 3,apples 4
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,1,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,1,0,0,0,0
9,0,0,1,0,0
10,1,0,0,0,0
11,0,0,0,0,1
12,0,0,0,0,0
13,2,0,0,1,0
14,0,0,0,0,0
15,0,1,0,0,1
16,0,2,1,2,0
17,1,0,2,1,0
18,1,2,0,3,1
19,0,1,2,0,2
20,1,0,1,0,2
21,4,0,2,2,0
22,2,3,1,4,1
23,1,5,1,0,6
24,5,0,2,0,1
25,2,2,2,3,3
26,0,9,6,1,3
27,6,6,0,18,10
28,1,2,12,12,4
29,4,7,7,11,6
30,8,5,0,0,1
31,6,5,3,3,3
32,5,3,4,1,3
33,2,6,13,6,4
34,4,9,2,1,9
35,5,2,7,4,7
36,0,8,2,12,4
37,2,1,0,11,3
38,0,0,2,5,1
39,5,2,10,0,5
40,0,8,10,17,3
41,1,9,16,5,6
42,9,2,4,11,3
43,3,5,5,8,7
44,5,5,1,4,0
45,9,1,1,5,10
46,5,9,2,6,1
47,11,1,9,7,3
48,8,1,14,8,7
49,5,1,4,1,11
50,12,2,9,15,9
51,18,11,3,13,6
52,12,6,1,4,2
53,7,10,0,8,3
54,7,11,8,1,4
55,1,6,5,7,0
56,0,7,3,12,5
57,14,5,9,8,8
58,9,6,3,10,7
59,19,6,17,10,9
60,6,2,8,5,5
61,9,5,16,8,8
62,4,2,3,1,9
63,20,2,7,14,5
64,11,4,13,5,3
65,11,6,9,4,13
66,7,6,2,2,6
67,4,1,0,9,0
68,3,4,7,10,2
69,7,4,7,7,8
70,9,2,6,8,4
71,12,2,10,7,7
72,10,5,0,14,4
73,4,3,4,4,1
74,0,1,0,1,2
75,1,0,1,1,0
76,1,2,0,1,6
77,1,2,1,4,4
78,11,5,7,1,1
79,16,1,11,6,9
80,9,5,6,5,9
81,4,11,7,5,6
82,9,2,2,4,8
83,1,9,9,6,9
84,2,2,2,5,5
85,1,7,18,1,19
86,6,17,4,6,8
87,7,0,6,10,1
88,6,2,1,9,6
89,11,3,6,4,1
90,12,7,10,10,6
91,1,4,6,11,9
92,1,8,4,4,8
93,3,5,14,8,15
94,7,2,6,2,6
95,1,5,4,8,6
96,1,1,11,7,4
97,3,7,2,3,11
98,2,2,3,7,12
99,12,6,12,8,15
