Generation,apples 0,apples 1,apples 2,apples 3,apples 4
0,0,0,0,0,0
1,0,0,0,0,1
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,1,0,0
6,0,0,0,1,0
7,0,0,0,0,0
8,0,0,0,0,1
9,1,0,0,0,0
10,0,0,0,0,0
11,0,0,0,1,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,1
15,1,0,0,0,0
16,0,0,0,0,0
17,0,0,1,0,0
18,1,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,1
21,0,1,0,1,0
22,0,0,1,1,2
23,4,1,5,8,5
24,1,5,1,3,0
25,3,9,8,0,0
26,2,5,3,4,1
27,2,8,0,3,7
28,3,0,0,1,12
29,1,1,2,0,3
30,8,2,2,2,3
31,5,1,5,1,3
32,1,3,7,3,2
33,4,1,3,13,8
34,1,2,5,7,1
35,4,1,2,1,4
36,3,2,2,1,3
37,1,0,0,0,0
38,1,2,0,0,0
39,0,1,1,0,0
40,0,0,0,1,0
41,0,0,0,0,2
42,1,0,0,0,0
43,0,5,0,0,0
44,1,0,1,1,3
45,0,3,2,0,0
46,0,5,0,0,2
47,0,0,0,0,0
48,1,0,0,0,0
49,1,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,1
53,0,0,0,0,0
54,0,0,0,3,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,1,2,3,1,0
60,1,5,1,1,0
61,3,1,0,0,0
62,2,0,2,7,1
63,0,1,0,1,1
64,4,0,1,3,1
65,2,1,1,0,0
66,1,1,10,0,1
67,0,1,1,4,3
68,1,0,2,2,7
69,0,6,1,12,0
70,2,3,4,5,1
71,1,2,0,3,2
72,0,1,7,1,2
73,3,0,0,1,1
74,2,2,1,1,1
75,1,1,2,1,1
76,0,0,4,10,0
77,2,2,3,2,3
78,1,2,1,7,1
79,5,6,3,7,1
80,1,8,11,2,1
81,6,3,1,5,3
82,3,7,1,1,5
83,5,6,1,4,0
84,8,12,3,2,7
85,8,1,1,2,2
86,2,3,4,5,1
87,1,8,2,3,9
88,2,6,6,10,5
89,3,5,0,4,5
90,2,5,2,7,8
91,10,10,1,2,2
92,12,8,4,7,9
93,10,1,5,11,2
94,4,1,6,2,2
95,1,3,6,2,3
96,3,6,8,4,9
97,11,5,3,4,3
98,2,2,0,0,0
99,1,9,4,8,10
