Generation,steps 0,steps 1,steps 2,steps 3,steps 4
0,1,3,3,1,3
1,2,2,2,3,0
2,0,2,2,2,0
3,4,4,2,1,3
4,0,1,7,5,10
5,3,2,1,3,0
6,0,4,7,2,3
7,7,1,2,4,0
8,6,1,2,3,3
9,1,5,2,2,5
10,2,0,5,7,7
11,1,4,5,0,7
12,5,2,5,10,7
13,5,3,3,3,1
14,3,0,3,8,0
15,2,4,0,9,5
16,3,1,2,6,3
17,3,2,1,5,9
18,9,1,3,0,2
19,5,6,2,0,1
20,3,1,7,5,0
21,0,9,2,7,8
22,6,0,1,2,0
23,2,1,1,2,6
24,0,0,3,7,0
25,8,18,5,2,3
26,0,1,0,0,0
27,8,1,0,1,3
28,8,4,0,2,0
29,4,0,2,1,2
30,0,7,3,11,10
31,1,7,3,2,6
32,8,3,0,9,9
33,7,4,3,2,1
34,10,3,7,0,0
35,9,16,7,0,0
36,6,10,3,3,3
37,1,8,2,2,2
38,1,0,5,3,1
39,1,6,0,2,0
40,0,6,0,6,1
41,0,7,6,1,3
42,5,6,11,1,3
43,5,3,3,0,0
44,1,3,2,7,1
45,0,1,1,5,0
46,11,8,6,23,8
47,11,45,7,8,7
48,116,36,49,32,28
49,36,9,5,14,10
50,50,17,27,11,61
51,0,12,27,45,43
52,62,54,16,1,5
53,15,44,38,12,34
54,31,9,15,7,43
55,14,31,42,30,10
56,17,10,6,6,10
57,35,8,14,26,27
58,14,11,2,21,5
59,5,21,74,5,34
60,22,10,44,20,47
61,19,17,42,21,12
62,40,10,10,3,15
63,3,15,11,6,7
64,4,19,14,3,16
65,12,4,30,9,4
66,1,12,7,8,5
67,17,15,28,15,41
68,36,29,7,7,35
69,10,14,12,4,12
70,20,11,12,13,13
71,25,29,22,5,15
72,24,0,37,27,5
73,10,19,10,8,7
74,16,21,4,6,3
75,7,15,13,7,2
76,2,10,2,11,10
77,5,2,2,9,17
78,2,21,5,6,7
79,6,2,15,13,13
80,2,14,6,9,9
81,11,0,7,2,24
82,8,7,9,10,3
83,2,5,32,20,14
84,2,23,5,14,19
85,2,2,11,2,17
86,7,9,18,30,2
87,13,35,15,13,8
88,9,8,13,12,13
89,9,12,14,8,8
90,12,29,9,8,51
91,14,8,11,32,24
92,10,12,38,15,2
93,62,25,11,17,11
94,16,5,10,12,10
95,19,13,14,10,9
96,52,24,14,17,14
97,6,8,11,11,15
98,16,11,13,11,27
99,7,66,20,9,8
